mnid,clean_cooking,clean_lighting,house_ownership,male_head,literate_head,age_head,share_sq,pol_term,div_index,pol_index,year,new_lu_name,_est_m1,yhat_ols,_est_m2,yhat_fe_div,_est_m3,yhat_fe_both
Sunkoshi Gaunpalika,.004405797,.68830848,.98215026,.71434247,.43000436,49.144444,,,.73572791,.63149673,2011,Sunkoshi,1,.0015423211,1,-.027131496,1,-.048269968
Sunkoshi Gaunpalika,.064697608,.9943741,.99859351,.74542898,.52320677,52.171589,.4393647046367448,.0718276534462348,.56063527,.92817235,2021,,1,.13822018,1,.096234903,1,.11737337
Manebhanjyang Gaunpalika,.011313796,.5035497,.95125979,.68255389,.46088526,47.699493,,,.64759475,.65449154,2011,Manebhanjyang,1,.031580511,1,-.01092145,1,-.00099849491
Manebhanjyang Gaunpalika,.13733333,.99199998,.96799999,.66266668,.64533335,50.422668,.616082586171629,.3454140336543787,.38391742,.65458596,2021,,1,.15544111,1,.15956858,1,.14964563
Kepilasgadhi Gaunpalika,0,.32155827,.96118534,.66486061,.50663972,46.499359,,,.52241594,.5929777,2011,Kepilasagadhi,1,-.0052871811,1,-.051848076,1,-.028066352
Kepilasgadhi Gaunpalika,.052892562,.9801653,.97520661,.71239668,.65289259,47.70248,.7025146641607023,.4780856795841828,.29748532,.5219143,2021,,1,.13855593,1,.10474064,1,.080958918
Aiselukharka Gaunpalika,.0018315018,.35731289,.94907558,.68745279,.48840943,48.855125,,,.73881316,.63044417,2011,Ainselukhark,1,.0577439,1,-.045009129,1,-.055617586
Aiselukharka Gaunpalika,.036065575,.94098359,.98032784,.68688524,.62459016,51.314754,.5105455783195794,.178264856338501,.48945442,.82173514,2021,,1,.1606814,1,.082906209,1,.093514659
Rawa Besi Gaunpalika,.0023809525,.55082655,.9400633,.72578394,.54367882,48.873726,,,.84681153,.48956954,2011,Rawa Besi,1,.10928331,1,-.0093306331,1,-.037477303
Rawa Besi Gaunpalika,.055865921,.98324025,.98137802,.71694601,.59217876,51.104282,.4339992509666502,.1629532687366009,.56600076,.83704674,2021,,1,.17839022,1,.067577504,1,.095724173
Halesi Tuwachung Municipality,.0028409092,.61247069,.97525936,.77426118,.53212041,48.211052,,,.61277562,.68090051,2011,Halesi Tuwachung,1,-.0025765956,1,-.025081573,1,-.015798429
Halesi Tuwachung Municipality,.10630841,.9813084,.96845794,.77219623,.60046726,48.918224,.522343081735265,.2227431154460646,.47765693,.77725691,2021,,1,.1866499,1,.1342309,1,.12494775
Diktel Rupakot Majhuwagadhi Municipality,.013342579,.75914097,.94633156,.69800383,.63031125,48.598171,,,.71327978,.68170571,2011,Rupakot Majhuwagadhi,1,.075317003,1,-.019688398,1,-.018318895
Diktel Rupakot Majhuwagadhi Municipality,.18771043,.98316497,.89478117,.69696969,.72979796,48.145622,.4443036269956266,.127161937271012,.55569637,.87283808,2021,,1,.33199808,1,.22074141,1,.21937191
Sakela Gaunpalika,0,.50609404,.94976234,.76440072,.62557089,50.946793,,,.66197473,.69819534,2011,Sakela,1,.044352755,1,-.063602902,1,-.059196886
Sakela Gaunpalika,.026748972,.97119343,.95884776,.69341564,.68930042,49.341564,.4544370602138201,.1132348900428042,.54556292,.88676512,2021,,1,.22660343,1,.090351872,1,.08594586
Diprung Chuichumma Gaunpalika,.0014285714,.48201233,.97173113,.75704002,.61320812,50.066265,,,.70127577,.68793541,2011,Diprung,1,.02741429,1,-.053219415,1,-.058599371
Diprung Chuichumma Gaunpalika,.021341464,.96951222,.98323172,.76219511,.67530489,51.016769,.4193154782709456,.09187308078981,.58068454,.90812689,2021,,1,.19293347,1,.075989448,1,.081369407
Khotehang Gaunpalika,.0015873016,.64668494,.97722894,.7323485,.58993292,49.728584,,,.71968961,.68104982,2011,Khotehang,1,.022841623,1,-.05239033,1,-.054255955
