mnid,clean_cooking,clean_lighting,div_index,pol_index,new_lu_name,yhat_ols,yhat_fe_div,yhat_fe_both
Hatuwagadhi Gaunpalika,.053097345,.94837761,.36887616,.63306117,,.15802759,.11103737,.098941848
Aamchowk Gaunpalika,.028938906,.94212216,.40152353,.68152666,,.15965736,.10044511,.075329274
Mahalaxmi Municipality,.10037175,.99132591,.58672833,.92069513,,.26459557,.11810865,.14023215
Pakhribas Municipality,.1574074,.98809522,.56064934,.89445835,,.29293638,.17544681,.19477415
Chhathar Jorpati Gaunpalika,.23043478,.99130434,.46910146,.81576371,,.26526046,.2094665,.21562026
Dhankuta Municipality,.56887299,.99105543,.54634809,.85602593,,.52137768,.50545555,.52115989
Shahidbhumi Gaunpalika,.18128654,.97660822,.26822001,.47576889,,.11399096,.18546759,.16213444
Sangurigadhi Gaunpalika,.20052083,.98697919,.14178477,.26778567,,.11053649,.1787581,.14017263
Chaubise Gaunpalika,.12760055,.98751736,.33792028,.59083223,,.21163349,.14515343,.12275182
Aatharai Gaunpalika,.046348315,.99016851,.5337221,.84315461,,.33980635,.095152691,.11187831
Phedap Gaunpalika,.048211507,.98755831,.55171907,.887568,,.24306656,.090940602,.094776161
Menchhayayem Gaunpalika,.029776676,.97766751,.5468545,.87389946,,.23951882,.089546353,.096831769
Myanglung Municipality,.32760897,.99207395,.56531417,.86931133,,.46121353,.32209978,.33587256
Laligurans Municipality,.1843318,.99231952,.53992391,.88993323,,.31516424,.19848409,.20337208
Chhathar Gaunpalika,.09149278,.98715889,.52574486,.84023005,,.23734203,.11856532,.12331253
Yangbarak Gaunpalika,.071428575,.99255955,.43620959,.76395911,,.25712404,.090218529,.082405061
Hilihan Gaunpalika,.061307903,.98910081,.52669364,.86102349,,.26648927,.088282339,.1023991
Falelung Gaunpalika,.055045873,.98951507,.32953063,.58405858,,.17324086,.10803905,.080314688
Phidim Municipality,.30577224,.99297971,.40856066,.69473141,,.43345758,.35831383,.34505573
Falgunanda Gaunpalika,.095597483,.98113209,.26343438,.47663915,,.18800549,.15221925,.11689913
Kummayak Gaunpalika,.049235992,.97113752,.51474524,.8223834,,.22325897,.10605308,.1067058
Tumbewa Gaunpalika,.051756006,.97412199,.44312721,.79169405,,.16949315,.08160153,.079502575
Miklajung Gaunpalika,.084054388,.95302844,.30012637,.53278291,,.22348782,.1370087,.10988076
Mai Jogmai Gaunpalika,.079842933,.99345547,.53489953,.91000098,,.24236292,.11288077,.13955508
Sandakpur Gaunpalika,.088495575,.9882006,.28774193,.5391767,,.14571989,.09964402,.073666684
Illam Municipality,.35003796,.99164766,.5698182,.91191578,,.43256602,.35276014,.37351063
Deumai Municipality,.11788618,.99390244,.49784365,.85892272,,.21108125,.083600946,.10237376
Fakfokathum Gaunpalika,.049934298,.98948753,.50763249,.8824923,,.19415396,.071910724,.097316526
Mangsebung Gaunpalika,.06616541,.95488721,.26520568,.4797608,,.1314605,.024691621,-.015049578
Chulachuli Gaunpalika,.41504854,.99150485,.4372814,.72762644,,.18057814,.30063385,.30868429
Mai Municipality,.15984017,.96703297,.45437983,.73613709,,.18583027,.16873755,.18751343
Suryodaya Municipality,.28945455,.99054545,.48554319,.86616194,,.25462574,.23932707,.27372721
Rong Gaunpalika,.20604396,.97802198,.41802689,.69233966,,.1826549,.18478261,.19384748
Mechinagar Municipality,.69241381,.99356323,.71750706,.74762034,,.41974857,.58703595,.6032182
Buddhashanti Gaunpalika,.70500374,.9947722,.65354764,.82350814,,.34657198,.57401681,.59510392
Arjundhara Municipality,.76896149,.9976663,.66488045,.78166759,,.43519172,.66393739,.68304521
Kankai Municipality,.75939852,.99624062,.65813875,.73735404,,.37142113,.64115298,.65495872
Shivasatakshi Municipality,.54025155,.9937107,.70220441,.7810573,,.35012501,.4774279,.4942072
Kamal Gaunpalika,.72372371,.990991,.67720628,.79850912,,.35496119,.57083952,.59158164
Damak Municipality,.90904522,1,.68930733,.76361883,,.63911057,.81664443,.84000701
Gauradaha Municipality,.54711676,.98804504,.66293359,.73528916,,.34236032,.4503195,.45917737
Gauriganj Gaunpalika,.22731614,.96657115,.72455025,.70187128,,.26119357,.22903717,.24862632
Jhapa Gaunpalika,.26628351,.98563218,.76335323,.68138516,,.26716009,.25882408,.27425694
Barhadashi Gaunpalika,.39573678,.98053753,.74105966,.71990687,,.27786782,.36232209,.38275948
Birtamod Municipality,.83036143,.99421686,.71383321,.71415251,,.7244758,.79056144,.80565238
Haldibari Gaunpalika,.50700003,.99199998,.71013737,.77582222,,.30845129,.40846536,.4256708
Bhadrapur Municipality,.68325794,.98383969,.76195085,.68670881,,.38920736,.57174128,.58033717
Kachanakawal Gaunpalika,.20175439,.9868421,.68588477,.7389167,,.25042272,.22299714,.21388006
Miklajung Gaunpalika,.3618677,.99124515,.58437163,.85210043,,.26572713,.30207625,.32761064
Letang Municipality,.46496814,.99090081,.50074983,.79207265,,.27745539,.37608933,.38918963
Kerabari Gaunpalika,.37033492,.97990429,.52857614,.81190228,,.25112695,.27135035,.28886315
Sundarharaicha Municipality,.82480693,.9937259,.68349612,.7572279,,.38349238,.66540033,.6860714
Belbari Municipality,.63002366,.99231678,.72423631,.76699895,,.32377082,.49507472,.521671
Kanepokhari Gaunpalika,.48648649,.98902029,.72247219,.76140267,,.27720752,.40480578,.43023023
Pathari Shanishchare Municipality,.61787075,.99493027,.66295046,.80653173,,.32338688,.4880698,.52100122
Urlabari Municipality,.78104991,.99807936,.69022042,.78503424,,.42372662,.65373498,.67904317
Ratuwamai Municipality,.34283677,.98075551,.78194249,.64330244,,.28953084,.30941191,.3192938
